Daerah,Nama Kuliner,"Bahan Utama (mis: beras,labu)",Bahan pengganti (mis: sagu),"Bahan pelengkap (mis: sayur kangkung, daun singkong)","Bentuk dan tekstur (mis: kuah kental, lembek)",Cara penyajian khusus (mis: dengan daun pisang),Deskripsikan Aroma lebih detail,Deskripsikan Rasa lebih detail,Apa rasa dominan kuliner tersebut ? [Nasi jajan],Level Pedas kuliner lokal di bawah ini [Nasi jajan],Level Gurih kuliner lokal di bawah ini [Nasi jajan],Level Manis kuliner lokal di bawah ini [Nasi jajan],Level Asin kuliner lokal di bawah ini [Nasi jajan],Level Asam kuliner lokal di bawah ini [Nasi jajan],Bagaimana aroma kuliner tersebut? [Nasi jajan],Nutrisi dari makanan [Nasi jajan],Tekstur makanan (mudah dikunyah/ tingkat kelembutan makanan) [Nasi jajan],Penggunaan bahan alami [Nasi jajan],Kesegaran makanan [Nasi jajan],Kebersihan makanan [Nasi jajan],Status halal makanan [Nasi jajan]
,Tinutuan,"Labu, beras",tdk ada,sayur singkong,"Berkuah, kental, lembut, encer",tdk ada,aroma daun kemangi kuat,rasa manis dan gurih,Gurih dengan dominan bumbuu rempah tertentu,4,4,3,3,2,Aroma rempah yang kuat,4,4,4,4,4,Halal
,Nasi goreng roa/cakalang,"Nasi, ikan roa",ikan cakalang,bawang goreng,Sedikit berminyak,tdk ada,Aroma bawang dan ikan yang kuat,rasa jahe yang kuat pedas dan gurih,Gurih dengan dominan bumbuu rempah tertentu,3,4,3,3,2,Agak berbau khas tertentu,3,3,4,3,4,Halal
,Dabu-dabu,"Cabai rawit, lemon",tdk ada,tdk ada,"Bentuk potongan kasar bawang, cabai, tomat, dengan tekstur sedikit berair dari air lemon",tdk ada,"Aroma segar tomat, aroma lemon","Pedas, asam",Gurih dengan dominan bumbuu rempah tertentu,4,4,3,3,3,Aroma rempah yang sedang,3,3,4,3,4,Halal
,Perkedel milu,Jagung,tdk ada,tdk ada,"Renyah, adonan lembut",tdk ada,biasa saja,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,4,3,3,2,Aroma rempah yang sedang,3,2,3,3,4,Halal
,Perkedel nike,Ikan Nike,tdk ada,tdk ada,"Tipis, renyah, tekstur adonan lembut",Tidak ada,biasa saja,Gurih,Gurih dengan dominan bumbuu rempah tertentu,3,4,3,3,2,Aroma rempah yang sedang,3,2,3,3,4,Halal
,Mie cakalang,"Mie, cakalang",tdk ada,bawang goreng,"Berkuah, sedikit berminyak, tekstur mie yang kenyal",Tidak ada,aroma ikan cakalang dan sambal,gurih pedas,Gurih dengan dominan bumbuu rempah tertentu,3,4,3,3,2,Aroma rempah yang kuat,3,4,3,3,4,Halal
,Tinutuan,"Labu, beras",Ubi,sayur singkong,"Berkuah, kental, lembut, encer","Disajikan dengan makanan pendemping Sambal roa, sambal bakasang, ikan asin, perkedel nike, perkedel jagung","Aroma rempah-rempah yang kuat, aroma daun kemangi","Rasa dominan gurih, rasa labu kuning yang kuat, jagung yang manis, campuran rempah-rempah, sayur-sayuran segar.",Gurih dengan dominan bumbuu rempah tertentu,1,4,2,2,1,Aroma rempah yang kuat,3,4,4,3,4,Tidak tahu
,Nasi goreng roa/cakalang,,,,,,,,Tidak pernah coba,0,0,0,0,0,0,0,5,0,0,0,Tidak tahu
,Dabu-dabu,"Cabai rawit, lemon",Tdk tau,tdk ada,"Bentuk potongan kasar bawang, cabai, tomat, dengan tekstur sedikit berair dari air lemon",Disajikan dengan ikan bakar atau ikan goreng,"Aroma segar tomat, aroma lemon","Pedas, asam",Pedas dengan dominan bumbu rempah tertentu,3,1,2,2,1,Aroma rempah yang sedang,2,4,4,3,4,Tidak tahu
,Perkedel milu,Jagung,kurang tau,tdk ada,"Renyah, adonan lembut",Tidak ada,"Wangi daun bawang, dan aroma jagung yang dominan","Renyah, gurih, rasa jagung yang manis",Gurih dengan dominan bumbuu rempah tertentu,1,4,1,2,1,Aroma rempah yang sedang,2,3,4,3,4,Tidak tahu
,Perkedel nike,Ikan Nike,tdk ada,tdk ada,"Tipis, renyah, tekstur adonan lembut",Tidak ada,"Bau ikan nike yang khas, dan aroma daun bawang","Gurih, rasa ikan nike yang khas, renyah",Gurih dengan dominan bumbuu rempah tertentu,1,4,1,2,1,Aroma rempah yang sedang,2,3,4,3,4,Tidak tahu
,Mie cakalang,,,,,,,,Tidak pernah coba,0,0,0,0,0,0,0,0,0,0,0,Tidak tahu
,Tinutuan,"Labu, beras",tdk ada,"sambal roa, daun singkong, singkong, jagung",kental,,aroma rempah,manis gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,2,3,1,Aroma rempah yang kuat,4,5,5,5,5,Halal
,Nasi goreng roa/cakalang,"Nasi, ikan roa",ikan cakalang,"acar timun, sambal roa",berminyak,,aroma rempah,pedas,Pedas dengan dominan bumbu rempah tertentu,2,4,3,2,1,Aroma rempah yang kuat,2,3,4,5,5,Halal
,Dabu-dabu,"tomat, rawit, lemon",tdk ada,Tidak Ada,"berair, potongan besar",,aroma cabai,pedas,Pedas dengan dominan bumbu rempah tertentu,3,3,3,3,1,Agak berbau khas tertentu,3,3,4,3,4,Halal
,Perkedel milu,Jagung,tdk ada,Tidak Ada,"krispi, lembut",,tdk beraroma,gurih jagung,Gurih dengan dominan bumbuu rempah tertentu,1,5,3,3,1,Agak berbau khas tertentu,4,5,4,5,5,Halal
,Perkedel nike,Ikan Nike,tdk ada,Tidak Ada,krispi adonan lembut,,tdk beraroma,rasa daun bawang,Gurih dengan dominan bumbuu rempah tertentu,1,5,3,3,1,Agak berbau khas tertentu,4,5,4,5,5,Halal
,Mie cakalang,"Mie, ikan cakalang",tdk ada,"Bawang goreng, sawi hijau, kol","kenyal, berkuah",,aroma rempah,pedas,Gurih dengan dominan bumbuu rempah tertentu,3,4,2,3,1,Aroma rempah yang kuat,3,4,4,5,4,Halal
,Tinutuan,Labu,Tidak Ada,"sambal roa, daun singkong, singkong, jagung",kental,Tidak Ada,aroma daun kemangi kuat,rasa manis dan gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,4,1,1,Aroma rempah yang kuat,5,5,5,5,5,Halal
,Nasi goreng roa/cakalang,"Nasi, ikan roa",Tidak Ada,"acar timun, sambal roa",berminyak,Tidak Ada,Aroma bawang dan ikan yang kuat,rasa jahe yang kuat pedas dan gurih,Pedas dengan dominan bumbu rempah tertentu,3,5,1,1,1,Agak berbau khas tertentu,3,2,4,4,4,Halal
,Dabu-dabu,cabai dan tomat,Tidak ada,Tidak Ada,"berair, potongan besar",Tidak ada,"Aroma segar tomat, aroma lemon","Pedas, asam",Pedas dengan rasa cabai kuat,5,2,1,4,5,Aroma rempah yang sedang,5,2,5,5,5,Halal
,Perkedel milu,Jagung,Tidak ada,Tidak Ada,"krispi, lembut",Tidak ada,biasa saja,gurih,Gurih dengan dominan bumbuu rempah tertentu,1,5,4,2,1,Agak berbau khas tertentu,3,1,3,4,4,Halal
,Perkedel nike,Ikan Nike,Tidak ada,Tidak Ada,krispi adonan lembut,Tidak ada,biasa saja,Gurih,Gurih dengan dominan bumbuu rempah tertentu,1,5,1,3,1,Agak berbau khas tertentu,3,1,3,4,4,Halal
,Mie cakalang,"Mie, ikan cakalang",Tidak ada,"Bawang goreng, sawi hijau, kol","kenyal, berkuah",Tidak ada,aroma ikan cakalang dan sambal,gurih pedas,Gurih dengan dominan bumbuu rempah tertentu,1,5,1,1,1,Aroma rempah yang sedang,3,4,3,4,4,Halal
Bogor,Nasi TImbel,beras merah campuran (beras yang dijadikan nasi),Beras yang djidikan nasi,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Asin dengan dominan bumbu rempah tertentu,2,3,1,2,1,Aroma rempah yang kuat,2,3,2,3,3,Halal
